,question,topic,quesiton
46,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the parametric equations $x = \cos t$, $y = \sin t$, find the area bounded by the curve and the y-axis for $0 \leq t \leq \frac{\pi}{4}$."
47,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Determine the angle between the tangent lines at the points where the parametric curve $x = \sin t$, $y = 3 \cos t$ intersects itself."
48,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the derivative of the polar curve $r = 2\cos^2 \theta + 3\sin \theta$ at the point where $\theta = \frac{3\pi}{4}$.
49,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the vector-valued function $\vec{h}(t) = \langle e^t, \frac{1}{t^2 + 1}, \ln(|t| + 1) \rangle$, find the unit tangent vector at $t = 1$."
50,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Calculate the arc length of the parametric curve defined by x = sin t, y = cos t for t in [0, pi]."
51,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the tangent line to the polar curve r = 2 + 4 cos theta at the point (2, pi/2)."
52,,Parametric_Equations_polar coordinates_and_vector-values_functions,Determine the area enclosed by the polar curve r = 1 + cos theta.
53,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the limit of the vector-valued function v(t) = (t^2, 4/t, t) as t approaches infinity."
54,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Determine the radius of curvature of the polar curve r = 1 + cos theta at the point (1, pi/4)."
55,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Compute the double integral over the region enclosed by the curves x = r cos theta, y = r sin theta, and r = 4."
56,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the derivative of the vector-valued function r(t) = (cos t, sin t, t^2)."
57,,Parametric_Equations_polar coordinates_and_vector-values_functions,Determine the area of the region bounded by the polar curves r = 3 sin theta and r = 6 cos theta.
58,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the limit of the polar curve r = theta as theta approaches zero.
59,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the vector-valued function r(t) = (t, t^2, t^3), find the unit tangent vector at t = 3."
60,,Parametric_Equations_polar coordinates_and_vector-values_functions,What is the polar equation for a circle centered at the origin with radius 3?
61,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the derivative of the vector-valued function r(t) = <cos(t), sin(t)>."
62,,Parametric_Equations_polar coordinates_and_vector-values_functions,Determine the area enclosed by the cardioid r = 2 + 2cos(theta).
63,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the parametric equations x = 2t, y = t^2, find the slope of the tangent line at t = 1."
64,,Parametric_Equations_polar coordinates_and_vector-values_functions,"For the polar equation r = 3cos(2theta), what is the distance between the origin and the point where theta = pi/4?"
65,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the unit tangent vector for the vector-valued function r(t) = <t, 2t^2>."
66,,Parametric_Equations_polar coordinates_and_vector-values_functions,What is the Cartesian equation for the polar graph r = 3sin(theta)?
67,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the area of the region enclosed by the curves r = 2 + cos(theta) and r = 4 - sin(theta).
68,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the polar equation r = 3cos(theta) + 2, what is the maximum value of r?"
69,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the derivative of the parametric equations x = cos(t)^2, y = sin(t)^2."
70,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the gradient of the parametric equation x = t^2 + 5, y = 2t + 1."
71,,Parametric_Equations_polar coordinates_and_vector-values_functions,Determine the velocity and acceleration vectors of a particle in polar coordinates with a position function given by r(t) = 2cos(t) i + 3sin(t) j.
72,,Parametric_Equations_polar coordinates_and_vector-values_functions,"What is the curvature of the curve defined by the parametric equation x = 3t^2 + 2, y = 2t^3 – 5 at t = 1?"
73,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the arc length of a curve described by r(t) = t^2 i + t j at t = 5.
74,,Parametric_Equations_polar coordinates_and_vector-values_functions,What is the unit tangent vector for the vector-valued function r(t) = 4t^2 i + 3√t j at t = 4?
75,,Parametric_Equations_polar coordinates_and_vector-values_functions,Calculate the surface area of the surface generated by rotating the polar curve r = sin(θ) over the interval π/3 ≤ θ ≤ 2π/3 about the x-axis.
76,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the normal vector of the curve described by the vector-valued function r(t) = 2t i + (t^2 + 3) j at t = 2.
77,,Parametric_Equations_polar coordinates_and_vector-values_functions,Determine the area enclosed by the polar curve r= 2sin(2θ).
78,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the limit as t approaches 0 of the vector-valued function r(t) = t sin(1/t) i + t cos(1/t) j.
79,,Parametric_Equations_polar coordinates_and_vector-values_functions,Determine the vector equation of the tangent line to the polar curve r = 2θ at θ = π/4.
80,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the slope of the tangent line to the parametric curve given by x = 2t^2, y = t^3 at the point t = 2."
81,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Determine the length of the curve described by x = cos(t), y = sin(t) from t = 0 to t = 2π."
82,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find all points on the circle r = 3sin(t) that have a tangent line with slope -1/2.
83,,Parametric_Equations_polar coordinates_and_vector-values_functions,Evaluate ∫cos(t) dt from 0 to π/2 using the substitution u = sin(t).
84,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the points of intersection between the curves r = 1+cos(t) and r = 1-sin(t).
85,,Parametric_Equations_polar coordinates_and_vector-values_functions,A particle moves along the curve r = 4θ as θ increases from 0 to π/2. Find the displacement of the particle.
86,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the curvature of the parametric curve x = 2cos(t), y = 2sin(t) at t = π/4."
87,,Parametric_Equations_polar coordinates_and_vector-values_functions,Determine the area enclosed by the polar curve r = 4sin(3θ).
88,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the length of the curve given by r = 2θ^(1/3) from θ = 0 to θ = 8.
89,,Parametric_Equations_polar coordinates_and_vector-values_functions,A vector-valued function is given by r(t) = cos(t) i + sin(t) j. Find the velocity and acceleration vectors when t = π/2.
90,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the parametric equations for the line tangent to the curve defined by the polar equation r = 3cos(θ) at θ = π/4.
91,,Parametric_Equations_polar coordinates_and_vector-values_functions,Determine the area bounded by the polar curve r = 2sin(2θ) and the line θ = π/4.
92,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Express the vector-valued function r(t) = (2cost, 3sint, 5t) in terms of cylindrical coordinates."
93,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the unit tangent and normal vectors for the curve defined by the vector-valued function r(t) = (t, t^2, t^3)."
94,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Determine the arc length of the curve given by the vector-valued function r(t) = (3cos(t), 3sin(t), 2t) from t = 0 to t = π/4."
95,,Parametric_Equations_polar coordinates_and_vector-values_functions,"What is the derivative of the parametric equations x = 4t^2, y = 5t^3 with respect to t?"
96,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the polar equation for the line through the point (3,π/6) with slope 2."
97,,Parametric_Equations_polar coordinates_and_vector-values_functions,Express the polar equation r = 2sin(2θ) in cartesian coordinates.
98,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the vector-valued function for the curve defined by the polar equation r = 4cos(2θ).
99,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Determine the curvature at θ = π/3 for the curve given by the parametric equations x = cos(2θ), y = sin(2θ)."
100,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the parametric equations for the ellipse with foci at (-3,0) and (3,0) and major axis of length 8."
101,,Parametric_Equations_polar coordinates_and_vector-values_functions,Convert the polar equation r = 4cosθ to Cartesian coordinates.
102,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the slope of the tangent line to the curve defined by the vector-valued function r(t) = <3t, t^2, 2t> at the point (1,1,2)."
103,,Parametric_Equations_polar coordinates_and_vector-values_functions,Determine the area enclosed by the polar curve r = 2sin(2θ).
104,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the derivative of the parametric equations x = 2t^2 + 1, y = t - 2t^2."
105,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Convert the vector-valued function r(t) =<cos(t), sin(t), t> to polar coordinates."
106,,Parametric_Equations_polar coordinates_and_vector-values_functions,"A particle moves along the curve defined by the vector-valued function r(t) = <4cos(2t), 9sin(2t), 8t>. Find the particle's speed at t=π/4."
107,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the area of the region bounded by the polar curve r = 5sin(2θ) and the line θ = π/4.
108,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the parametric equations x = 3cos(t), y = 2sin(t), find the equation of the tangent line at t=π/6."
109,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Convert the vector-valued function r(t) = <e^t, t, e^-t> to Cartesian coordinates."
110,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the parametric equations for the line segment connecting the points (3,2) and (6,4)."
111,,Parametric_Equations_polar coordinates_and_vector-values_functions,Determine the curvature of the polar curve r = 2cos(θ) at θ = π/4.
112,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the vector-valued function r(t) = <3cos(t), 4sin(t)> representing the motion of a point on a circle with radius 5."
113,,Parametric_Equations_polar coordinates_and_vector-values_functions,What is the slope of the tangent line to the polar curve r = 3sin(2θ) at θ = π/6?
114,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the vector-valued function r(t) = <2cos(t), 3sin(t)>, what is the acceleration vector at t = 3?"
115,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the area enclosed by the polar curve r = 4sin(θ) and the line θ = π/4.
116,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the derivative of the vector-valued function r(t) = <2cos(t), 4sin(t)>."
117,,Parametric_Equations_polar coordinates_and_vector-values_functions,What is the length of the polar curve r = 3cos(2θ) from θ = 0 to θ = π/4?
118,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the parametric equations for the curve represented by the polar equation r = 5 - 3sin(θ).
119,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the vector-valued function r(t) = <2sin(t), 3cos(t)>, find the unit tangent vector at t = π/3."
120,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the tangent line to the parametric curve x(t) = 3t^2 + 5t, y(t) = 2t + 6 at t = 2."
121,,Parametric_Equations_polar coordinates_and_vector-values_functions,Determine the area enclosed by the polar curve r = 4sin(2θ).
122,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the velocity and acceleration vectors for the particle moving along the curve r = 2cos(3θ) at θ = π/2.
123,,Parametric_Equations_polar coordinates_and_vector-values_functions,"If a particle travels along the curve r(t) = 2t^2 i + 6t j + t^3 k, find its distance traveled after 4 seconds."
124,,Parametric_Equations_polar coordinates_and_vector-values_functions,Convert the polar equation r = 4sec(θ) to Cartesian coordinates.
125,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the slope of the tangent line to the curve r = 3 + 8sin(θ) at θ = π/6.
126,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Write the vector-valued function for the curve given by x(t) = cos(t), y(t) = sin(t), z(t) = t^2 - 1."
127,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the unit normal vector to the curve r(t) = t^2 i + 3t j + 2k at t = 4.
128,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the area of the region enclosed by the curves r = sin(θ) and r = 2cos(θ).
129,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the vector-valued function r(t) = 4t^2 i + 3cos(3t) j + 7sin(t) k, find the velocity and acceleration vectors at t = 5."
130,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the parametric equations for the curve defined by the polar coordinates (3, pi/4)"
131,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Calculate the slope of the vector-valued function r(t) = <t^2, 3t> at t = 2"
132,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the vector-valued function r(t) = <sin t, t>, find the unit tangent vector at t = pi/3"
133,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Express the vector-valued function r(t) = <e^t, cos t> in polar coordinates"
134,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the derivative of the vector-valued function r(t) = <2t^3, sin t> with respect to t"
135,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Determine the Cartesian equation of the curve defined by the parametric equations x = 2 + cos t, y = 3 + sin t"
136,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the vector-valued function r(t) = <t^2, ln t>, find the unit normal vector at t = 1"
137,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Convert the parametric equations x = cos t, y = sin t into a vector-valued function"
138,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the curvature of the curve defined by the parametric equations x = 4t^2, y = 3t^3 at t = 1"
139,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Differentiate the vector-valued function r(t) = <t^2, e^t> with respect to t and find the equation for the tangent line at t = 0"
140,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the polar coordinates of the point (3, 4) in Cartesian coordinates."
141,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the vector-valued function for the curve defined by the parametric equations x = cos(t) and y = sin(t).
142,,Parametric_Equations_polar coordinates_and_vector-values_functions,"What is the derivative of the vector-valued function r(t) = (2t, t^2, 4t + 1)?"
143,,Parametric_Equations_polar coordinates_and_vector-values_functions,A particle moves along the curve defined by the parametric equations x = cos(t) and y = sin(t). Find the velocity vector at t = pi/4.
144,,Parametric_Equations_polar coordinates_and_vector-values_functions,Graph the parametric equations x = 2cos(t) and y = 4sin(t) and determine the shape of the resulting curve.
145,,Parametric_Equations_polar coordinates_and_vector-values_functions,The curve defined by the parametric equations x = 2t^3 and y = 3t^2 has a tangent line at t = 1. Find the slope of the tangent line.
146,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the vector-valued function r(t) = (3cos(t), 2sin(t)), find the curvature at t = pi/3."
147,,Parametric_Equations_polar coordinates_and_vector-values_functions,A particle moves along the polar curve r = 4sin(2theta). Find the acceleration vector at theta = pi/6.
148,,Parametric_Equations_polar coordinates_and_vector-values_functions,The polar equation r = 2cos(theta) describes a circle. Find the radius and center of the circle.
149,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the area enclosed by the polar curve r = 1 + cos(theta).
150,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the parametric equations for a circle with center (3,2) and radius 5."
151,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the parametric equations x=3cos(t) and y=4sin(t), find the Cartesian equation for the curve."
152,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the polar coordinates of the point (4, -3) given the Cartesian coordinates x=4 and y=-3."
153,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the length of the curve given by the parametric equations x=t^2, y=3t from t=0 to t=4."
154,,Parametric_Equations_polar coordinates_and_vector-values_functions,"A car drives along a straight road with parametric equations x=2t, y=t^2. Find the velocity and acceleration of the car at t=2."
155,,Parametric_Equations_polar coordinates_and_vector-values_functions,"A particle moves along a path described by the vector-valued function r(t) = <t^2, 3t, -4t>. Find the position, velocity, and acceleration at t=2."
156,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the parametric equations for the line passing through the points (3,2) and (6,5)."
157,,Parametric_Equations_polar coordinates_and_vector-values_functions,The graph of a polar curve is given by the equation r=4sin(4θ). Find the maximum and minimum distance from the origin.
158,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the area enclosed by the polar curve r=3θ and the line θ=π/6.
159,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the unit tangent and normal vectors to the curve r=2sin(3θ) at θ=π/4.
160,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the parametric equations for the curve given by the polar equation r = 2sin(2θ).
161,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Determine the slope of the tangent line to the curve defined by the parametric equations x = 3cos(t), y = 4sin(t) at t = π/4."
162,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the polar equation of the line passing through the point (2,π/4) with slope -1."
163,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the vector-valued function r(t) = <3cos(t), 2sin(t), t>, find the unit tangent and normal vectors at t = π/3."
164,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the area enclosed by the curve with parametric equations x = 3sin(2t), y = 4cos(t) for -π/2 ≤ t ≤ π/2."
165,,Parametric_Equations_polar coordinates_and_vector-values_functions,What is the curvature of the curve defined by the polar equation r = 2sin(3θ)?
166,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Determine the parametric equation for the tangent line to the curve x = 2t, y = t^2 at the point (3, 9)."
167,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the vector-valued function describing the motion of an object with position vector r(t) = <2cos(t), 5sin(t), t^2>."
168,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the polar equation for the circle with center (1,π/4) and radius 3."
169,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the vector-valued function r(t) = <t^2, 2t, 3>, find the velocity and acceleration at t = π/3."
170,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the derivative of the polar curve r = 2cos(2θ).
171,,Parametric_Equations_polar coordinates_and_vector-values_functions,"A projectile is launched at a speed of 30 m/s and an angle of 45° with respect to the horizontal. Express the path of the projectile in terms of parametric equations, where x represents the horizontal distance traveled and y represents the vertical distance traveled."
172,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Calculate the curvature of the vector-valued function r(t) = (t, t^2, t^3) at t = 2."
173,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the polar equation r = a sin(θ), where a is a constant, find the area enclosed by one loop of the curve."
174,,Parametric_Equations_polar coordinates_and_vector-values_functions,"A race car is traveling around a circular track with a radius of 100 meters. The car's position at any given time is described by the vector-valued function r(t) = (100cos(t), 100sin(t)). Find the speed and acceleration of the car at t = π/2 seconds."
175,,Parametric_Equations_polar coordinates_and_vector-values_functions,Convert the polar equation r = 2sin(3θ) to Cartesian form.
176,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Determine the arc length of the curve described by the parametric equations x = t^2, y = t^3, from t = 0 to t = 1."
177,,Parametric_Equations_polar coordinates_and_vector-values_functions,"The vector-valued function r(t) = (cos(t), t^2, sin(t)) represents the position of a particle in three-dimensional space at time t. Find the speed and acceleration of the particle at t = π."
178,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the slope of the tangent line to the polar curve r = 2 + cos(θ) at θ = π/4.
179,,Parametric_Equations_polar coordinates_and_vector-values_functions,"An object is moving on a straight line and its position at time t is given by the vector-valued function r(t) = (2t, t², 3t³). Find the average velocity of the object on the interval [1, 3] and the instantaneous velocity when t = 2."
180,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the slope of the tangent line to the curve given by the parametric equations x = 2cos(t), y = 3sin(t) at t = π/4."
181,,Parametric_Equations_polar coordinates_and_vector-values_functions,Determine the points of intersection between the curve r = 2sin(θ) and the line θ = π/3.
182,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Show that the parametric equations x = t^3, y = t^2 represent a parabola."
183,,Parametric_Equations_polar coordinates_and_vector-values_functions,Calculate the velocity vector for the particle moving along the curve r = 5sin(2θ) at θ = π/6.
184,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the equation of the normal line to the curve given by the vector-valued function r(t) = <3t, 2t^2, t^3> at t = 2."
185,,Parametric_Equations_polar coordinates_and_vector-values_functions,What are the domain and range of the function represented by the polar curve r = 2cos(θ)?
186,,Parametric_Equations_polar coordinates_and_vector-values_functions,Show that the polar curve r = 1 + 2sin(θ) and the cartesian curve y = 1 + 2x have the same shape.
187,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the area enclosed by the polar curve r = 3sin(2θ).
188,,Parametric_Equations_polar coordinates_and_vector-values_functions,"What is the derivative of the vector-valued function r(t) = <4t, t^2, 2t^3>?"
189,,Parametric_Equations_polar coordinates_and_vector-values_functions,Determine the polar equation for the conic section represented by the cartesian equation x^2 + y^2 = 9.
190,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Find the parametric equations for a circle with center (3,4) and radius 5."
191,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the area enclosed by the curve r = 4sin(θ) in polar coordinates.
192,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Given the parametric equations x = t^2 and y = 2t, find the equation for the tangent line at t = 3."
193,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the velocity and acceleration vectors for the parametric equations x = cos(t) and y = sin(t).
194,,Parametric_Equations_polar coordinates_and_vector-values_functions,At what point on the curve r = 3sin(2θ) does the tangent line have a slope of 1?
195,,Parametric_Equations_polar coordinates_and_vector-values_functions,Find the derivative of the vector-valued function r(t) = t^2 i + (1/t) j at t = 2.
196,,Parametric_Equations_polar coordinates_and_vector-values_functions,"Write the vector-valued function for a line passing through the points (1,2) and (5,7)."
