,topic,quesiton
33,Generate me a calculus question on Analytical_Applications_of_Differentiation,The radius of a circle is increasing at a rate of 3 centimeters per second. Find the rate of change of its area when the radius is 5 centimeters.
34,Generate me a calculus question on Analytical_Applications_of_Differentiation,A rectangle has a perimeter of 60 cm. Find the dimensions of the rectangle with the largest area.
35,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A car traveling along a straight road at 60 km/h passes a point P moving at a constant rate of 25 km/h, where P is 30 km from the starting point. Find the distance between the car and P after 2 hours."
36,Generate me a calculus question on Analytical_Applications_of_Differentiation,"The revenue function for a product is given by R(x) = 12x - 0.01x^2, where x is the number of units sold. Find the maximum revenue and the corresponding number of units sold."
37,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A company charges $15 for a concert ticket and sells 500 tickets. For every $1 increase in ticket price, they sell 20 fewer tickets. What ticket price should the company set to maximize their revenue?"
38,Generate me a calculus question on Analytical_Applications_of_Differentiation,The tank in a waterpark is filled with 5000 liters of water. Water is pumped into the tank at a rate of 150 liters per minute and drained out at a rate of 75 liters per minute. After how many minutes will the tank be half full?
39,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A ladder 10 feet long is leaning against a building. If the bottom of the ladder is sliding away from the building at a rate of 1 foot per second, how fast is the top of the ladder sliding down when it is 6 feet from the ground?"
40,Generate me a calculus question on Analytical_Applications_of_Differentiation,"What is the maximum value of the revenue function R(x) = (40x - x^2)^2, where x represents the number of units produced?"
41,Generate me a calculus question on Analytical_Applications_of_Differentiation,"Find the derivative of the position function s(t) = t^3 - 12t^2 + 30t, to determine when the object is at rest."
42,Generate me a calculus question on Analytical_Applications_of_Differentiation,A water tank is in the shape of a right circular cylinder with radius 3 meters and height 6 meters. What is the rate of change of the water level when the depth of the water is increasing at a constant rate of 0.4 meters per minute?
43,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A ladder is leaning against a vertical wall. If the base of the ladder is sliding away from the wall at a rate of 2 feet per second, and the top of the ladder is sliding down the wall at a rate of 1 foot per second, how fast is the angle between the ladder and the ground changing when the base is 8 feet from the wall?"
44,Generate me a calculus question on Analytical_Applications_of_Differentiation,"The hypotenuse of a right triangle is increasing at a rate of 3 cm per second, while the adjacent side is decreasing at a rate of 2 cm per second. Find the rate at which the angle between the hypotenuse and the adjacent side is changing when the adjacent side is 10 cm and the hypotenuse is 14 cm."
45,Generate me a calculus question on Analytical_Applications_of_Differentiation,A cylindrical can is being filled with water at a rate of 1 cubic meter per minute. The can has a radius of 2 meters and a height of 5 meters. How fast is the height of the water rising when the height is 3 meters?
46,Generate me a calculus question on Analytical_Applications_of_Differentiation,"An amusement park ride consists of a rotating platform with seats attached at its outer edge. If the platform has a radius of 10 meters and is rotating at a rate of 3 revolutions per minute, how fast is the distance between two adjacent seats changing when the riders are at a distance of 4 meters from the center?"
47,Generate me a calculus question on Analytical_Applications_of_Differentiation,A caterer charges a fixed setup fee of $200 plus $9 per person for a buffet dinner. How many guests must attend in order to minimize the average cost per guest?
48,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A parcel of land is in the shape of a right triangle with sides of length 75 meters, 100 meters, and 125 meters. If the shortest side is increasing at a rate of 2 meters per minute, at what rate is the area of the parcel increasing when the shortest side is"
49,Generate me a calculus question on Analytical_Applications_of_Differentiation,"Given a quadratic function f(x) = 3x^2 + 2x + 5, find the derivative of f(x) and determine the slope of the tangent line at x = 2."
50,Generate me a calculus question on Analytical_Applications_of_Differentiation,A ball is thrown upwards with an initial velocity of 20 meters per second. How long does it take for the ball to reach its maximum height and what is the maximum height?
51,Generate me a calculus question on Analytical_Applications_of_Differentiation,"Find the critical points and determine whether they are local maximum, local minimum, or neither for the function g(x) = 4x^3 - 12x^2 + 3."
52,Generate me a calculus question on Analytical_Applications_of_Differentiation,A rectangular piece of cardboard with an 8 inch by 12 inch base is to be made into a box with no top by cutting squares of equal size from each corner and folding up the sides. Express the volume of the box as a function of the length of the side of the cutout square.
53,Generate me a calculus question on Analytical_Applications_of_Differentiation,A particle moves along the curve y = x^3 + 2x^2. Find the point(s) on the curve where the tangent line is horizontal.
54,Generate me a calculus question on Analytical_Applications_of_Differentiation,"The revenue function for a company is R(x) = 200x^3 - 2000x^2 + 5000x, where x is the number of units sold in thousands. Determine the number of units that should be produced and sold in order to maximize revenue."
55,Generate me a calculus question on Analytical_Applications_of_Differentiation,"Find the average value of the function f(x) = 4x^2 - 6x + 5 on the interval [1,5]."
56,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A ladder 20 feet long is leaning against the side of a building. If the bottom of the ladder is pulled away from the wall at a constant rate of 2 feet per second, how fast is the top sliding down the wall when the bottom of the ladder is 12 feet from the wall?"
57,Generate me a calculus question on Analytical_Applications_of_Differentiation,A cylindrical tank with a radius of 8 meters is being filled with water at a rate of 4 cubic meters per minute. At what rate is the water level rising when the depth of the water is 5 meters?
58,Generate me a calculus question on Analytical_Applications_of_Differentiation,A farmer has 400 feet of fencing and wants to enclose a rectangular area of land and also divide it into two parts with a fence down the middle parallel to one side of the rectangle. What dimensions should the farmer use for maximum enclosed area?
59,Generate me a calculus question on Analytical_Applications_of_Differentiation,What is the first derivative of the function f(x) = x^3 + 2x + 1 at the point x = 2?
60,Generate me a calculus question on Analytical_Applications_of_Differentiation,How many critical points does the function f(x) = x^2 - 4x + 8 have?
61,Generate me a calculus question on Analytical_Applications_of_Differentiation,At what x-value does the function y = (x^2 - 4x)^3 have a local maximum?
62,Generate me a calculus question on Analytical_Applications_of_Differentiation,Find the linear approximation of the function f(x) = sqrt(x) at the point x = 4.
63,Generate me a calculus question on Analytical_Applications_of_Differentiation,For what values of x does the function g(x) = x^3 - 3x^2 + 5x have a concave up/convex down shape?
64,Generate me a calculus question on Analytical_Applications_of_Differentiation,What is the maximum profit that can be achieved by producing and selling x units of a product with a cost function C(x) = 50x + 500 and a revenue function R(x) = 75x?
65,Generate me a calculus question on Analytical_Applications_of_Differentiation,Find the second derivative of the function y = e^x * sin(x).
66,Generate me a calculus question on Analytical_Applications_of_Differentiation,A ball is thrown into the air with an initial velocity of 30 m/s. What is the maximum height the ball reaches and at what time does it reach it?
67,Generate me a calculus question on Analytical_Applications_of_Differentiation,"The population of a town is modeled by the function P(t) = 5000 / (1 + 4e^(-0.5t)), where t represents time in years. At what rate is the population growing after 5 years?"
68,Generate me a calculus question on Analytical_Applications_of_Differentiation,A cylindrical can with a volume of 1000 cm^3 is being filled with liquid at a rate of 20 cm^3/s. How fast is the height of the liquid changing when the radius is 5 cm?
69,Generate me a calculus question on Analytical_Applications_of_Differentiation,What is the rate of change of the area of a circle with respect to its radius?
70,Generate me a calculus question on Analytical_Applications_of_Differentiation,At what point does a parabola intersect a given line when the equation of the parabola and the equation of the line are known?
71,Generate me a calculus question on Analytical_Applications_of_Differentiation,Find the maximum volume of a rectangular prism with a fixed surface area of x square units.
72,Generate me a calculus question on Analytical_Applications_of_Differentiation,"If the cost of producing x units of a product is given by C(x) = 50 + 2x + 0.5x^2, find the marginal cost when x = 100."
73,Generate me a calculus question on Analytical_Applications_of_Differentiation,What is the elasticity of a demand function given by P(x) = 1000/x^2 at x = 10?
74,Generate me a calculus question on Analytical_Applications_of_Differentiation,"Find the center, radius, and equations of the tangent lines of the following circle: (x-2)^2 + (y+3)^2 = 25"
75,Generate me a calculus question on Analytical_Applications_of_Differentiation,A car is accelerating at a rate of 2 m/s^2. How fast is the distance between the car and a nearby building changing when the car is 50 m away from the building?
76,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A ladder is leaning against a wall at an angle of 60 degrees. If the base of the ladder is 6 meters away from the wall, how fast is the top of the ladder sliding down the wall when the base is 8 meters away from the wall?"
77,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A funnel has a radius of 5 cm and a height of 10 cm. If the height is increasing at a rate of 1 cm/s, at what rate is the volume of the funnel increasing when the height is 4 cm?"
78,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A particle is moving along a curve y = x^2. If the x-coordinate is increasing at a rate of 2 cm/s, at what rate is the distance between the particle and the origin changing when x = 5 cm?"
79,Generate me a calculus question on Analytical_Applications_of_Differentiation,"Given the function f(x) = 2x^3 - 9x^2 + 6x + 4, find the intervals of increase and decrease."
80,Generate me a calculus question on Analytical_Applications_of_Differentiation,A company sells a product for $10 per unit. The cost to produce x units is given by C(x) = 2x^2 + 2000x + 5000. Find the production level that maximizes profit.
81,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A ladder is leaning against a wall with its base 3 feet from the wall. If the top of the ladder is sliding down the wall at a rate of 4 feet per second, how fast is the base of the ladder moving away from the wall when the top of the ladder is 12 feet from the ground?"
82,Generate me a calculus question on Analytical_Applications_of_Differentiation,A metal wire of length 8 cm is melted and reformed into a circle. What is the radius of the circular wire that maximizes the area?
83,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A piece of wire 30 cm long is cut into two pieces. One piece is bent to form a square, while the other is bent to form an equilateral triangle. What is the minimum total area for the two shapes combined?"
84,Generate me a calculus question on Analytical_Applications_of_Differentiation,"The daily cost function for a firm is given by C(x) = 2x^2 - 20x + 200, where x is the number of units produced. Determine the level of production that minimizes the average cost."
85,Generate me a calculus question on Analytical_Applications_of_Differentiation,A rectangular box with a square base is to have a volume of 1000 cubic feet. Find the dimensions of the box that minimize the surface area.
86,Generate me a calculus question on Analytical_Applications_of_Differentiation,"The position of an object moving along a straight line is given by s(t) = 3t^2 + 6t, where t is the time in seconds. When does the object change direction and what is its velocity at that time?"
87,Generate me a calculus question on Analytical_Applications_of_Differentiation,An open rectangular box with a square base is to have a volume of 1500 cubic inches. Find the dimensions of the box with minimum surface area.
88,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A farmer wants to build a rectangular pen with 800 feet of fencing. If one side of the pen is against a barn, what are the dimensions of the pen that maximize the enclosed area?"
89,Generate me a calculus question on Analytical_Applications_of_Differentiation,"If f(x) represents the total sales revenue for a company, what is the maximum revenue they can make if their marginal profit is given by f'(x) = 100 - 0.1x?"
90,Generate me a calculus question on Analytical_Applications_of_Differentiation,"The volume of a box is given by V = lwh. If the length and width of the box are fixed at 10 cm and 5 cm, respectively, what should be the height of the box in order to maximize its volume?"
91,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A ladder is leaning against a wall and is slipping down. If the bottom of the ladder is 10 feet from the wall and sliding at a rate of 3 feet per second, how fast is the top of the ladder sliding down the wall when the bottom of the ladder is 6 feet from the ground?"
92,Generate me a calculus question on Analytical_Applications_of_Differentiation,"The profit function for a company is given by P(x) = -x^2 + 50x - 1000, where x represents the number of units produced. What is the maximum profit the company can make and at what production level?"
93,Generate me a calculus question on Analytical_Applications_of_Differentiation,"The rate at which a population of ants is growing is proportional to the square root of the current population size. If there are 1000 ants initially and the population reaches 5000 after one hour, what is the population size after two hours?"
94,Generate me a calculus question on Analytical_Applications_of_Differentiation,"The height (H) of a rocket travelling straight up is given by H(t) = 100t - 4.9t^2, where t is the time in seconds. What is the maximum height the rocket will reach and at what time will it reach that height?"
95,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A cone-shaped cup is being filled with water at a rate of 3 cm^3 per second. If the height of the cup is 10 cm and the radius is 5 cm, how fast is the water level rising when the cup is exactly half full?"
96,Generate me a calculus question on Analytical_Applications_of_Differentiation,The monthly cost (C) of producing x units of a product is given by C(x) = x^3/5000 + 1000. How many units should be produced to minimize the average monthly cost?
97,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A spherical balloon is being inflated at a rate of 10 cm^3 per second. If the initial volume of the balloon is 100 cm^3, how fast is the radius increasing when the volume is 500 cm^3?"
98,Generate me a calculus question on Analytical_Applications_of_Differentiation,A hot air balloon is rising vertically at a rate of 10 m/s. A camera on the ground is
99,Generate me a calculus question on Analytical_Applications_of_Differentiation,"Given a function f(x) representing the position of an object at time t (in seconds), find the velocity, acceleration, and jerk of the object at a specific time t=5 seconds."
100,Generate me a calculus question on Analytical_Applications_of_Differentiation,A spherical balloon is being inflated with air at a rate of 100 cubic centimeters per minute. How fast is the radius of the balloon increasing when the volume is 4000 cubic centimeters?
101,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A water trough has the shape of a rectangular prism with a length of 10 meters, a width of 5 meters, and a height of 3 meters. If water is being pumped into the trough at a rate of 2 cubic meters per minute, how fast is the water level rising when the depth of the water is 2 meters?"
102,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A manufacturer is producing square boxes with an open top by cutting equal squares out of the corners of a 10 inch by 10 inch sheet of metal and folding up the flaps. If the maximum possible volume of the box is 900 cubic inches, what is the side length of the square cutouts?"
103,Generate me a calculus question on Analytical_Applications_of_Differentiation,"The daily demand in sales of a product is given by the function p(x) = 8000 - 100x, where x is the price per unit. What price should the company set in order to maximize profit?"
104,Generate me a calculus question on Analytical_Applications_of_Differentiation,A container in the shape of a right circular cylinder is to be made with a fixed surface area of 50π square feet. What dimensions will yield the maximum volume?
105,Generate me a calculus question on Analytical_Applications_of_Differentiation,A rectangular garden is to be constructed next to a house using 80 feet of fencing. Find the dimensions of the garden that maximize its area.
106,Generate me a calculus question on Analytical_Applications_of_Differentiation,"The force on a diver at a depth of d feet below the surface of a lake is given by the equation F= 62.4d/144, where F is measured in pounds. Find the rate of change of force with respect to depth when the diver is 25 feet below the surface."
107,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A particle moving along a curve has a position function s(t) = 5t^3 - 8t^2 + 12t, where t represents time in seconds and s represents distance in meters. At what time does the particle have the greatest velocity?"
108,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A company producing triangular candy boxes wants to maximize the volume of each box. If each box is cut from a single sheet of cardboard with side length x, find the dimensions of the base that would result in the maximum volume."
109,Generate me a calculus question on Analytical_Applications_of_Differentiation,Find the rate of change of the volume of a cube with respect to its side length when the side length is increasing at a rate of 2 cm/s.
110,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A ladder 10 meters long is leaning against a wall. If the bottom of the ladder is sliding away from the wall at a rate of 1 m/s, at what rate is the top of the ladder sliding down the wall when the bottom of the ladder is 6 meters from the wall?"
111,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A manufacturing company finds that its cost function is C(x) = 5000 + 100x + 0.01x^2 , where x is the number of units produced. Find the level of production that minimizes the average cost per unit."
112,Generate me a calculus question on Analytical_Applications_of_Differentiation,The position (in meters) of a particle moving along a straight line is given by s(t) = 5t^3 + 20t + 100. Find the velocity and acceleration of the particle at time t = 2 seconds.
113,Generate me a calculus question on Analytical_Applications_of_Differentiation,A spherical balloon is being inflated at a rate of 10 cm^3/s. How fast is the radius of the balloon increasing when the volume is 1000 cm^3?
114,Generate me a calculus question on Analytical_Applications_of_Differentiation,The marginal cost of producing x units of a product is given by MC(x) = 10 + 0.1x + 0.001x^2. Find the average cost function and use it to determine the minimum cost of producing 100 units.
115,Generate me a calculus question on Analytical_Applications_of_Differentiation,A 20 meter long conductor is to be cut into two pieces and used to form a rectangle and a square. Where should the conductor be cut to minimize the total area of the two shapes?
116,Generate me a calculus question on Analytical_Applications_of_Differentiation,A baseball is thrown from a rooftop with an initial velocity of 30 m/s at an angle of 45 degrees. What is the maximum height reached by the ball and the horizontal distance traveled before it hits the ground?
117,Generate me a calculus question on Analytical_Applications_of_Differentiation,A box with a square base and open top is to be constructed from 48 square meters of material. What dimensions will give the largest possible volume?
118,Generate me a calculus question on Analytical_Applications_of_Differentiation,A conical water tank with radius 10 feet and height 20 feet is being filled with water at a rate of 4 cubic feet per second. At what rate is the water level rising when the depth of the water is 12 feet?
119,Generate me a calculus question on Analytical_Applications_of_Differentiation,"Given the cost function C(q) = 50 + 3q – 0.1q2, where q is the quantity of units produced, find the minimum cost for producing 100 units."
120,Generate me a calculus question on Analytical_Applications_of_Differentiation,A manufacturing plant produces w widgets per hour and the average production cost function is C(w) = 0.2w3 – 0.4w2 + 12w + 100. Find the production level that minimizes cost.
121,Generate me a calculus question on Analytical_Applications_of_Differentiation,"The profit function for a business is given by P(x) = 40x – 0.2x2 – 200, where x represents the number of units sold. Find the production level that maximizes profit."
122,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A rocket is launched at an initial velocity of v(0) = 100 m/s. Its velocity is defined by the function v(t) = 100 – 9.8t, where t is the time in seconds. Find the maximum height reached by the rocket."
123,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A ladder of 10 meters is resting against a wall. If the bottom of the ladder is being pulled away from the wall at a rate of 5 m/s, how fast is the top of the ladder sliding down the wall when the bottom is 6 meters from the wall?"
124,Generate me a calculus question on Analytical_Applications_of_Differentiation,"The position of an object moving along a line is given by s(t) = t3 – 5t2 + 6t, where t is measured in seconds and s(t) is measured in meters. Find the velocity of the object at t = 2 seconds."
125,Generate me a calculus question on Analytical_Applications_of_Differentiation,A farmer wants to build a rectangular pen with a fixed perimeter of 200 meters. What dimensions should the pen have in order to enclose the maximum area?
126,Generate me a calculus question on Analytical_Applications_of_Differentiation,The revenue generated by selling x units of a product is given by R(x) = 500x – 0.2x2. Find the marginal revenue when x = 100.
127,Generate me a calculus question on Analytical_Applications_of_Differentiation,A cylindrical tank with a height of 10 meters is being filled with water at a constant rate of 5 cubic meters per minute. How fast is the water level rising when the radius of the tank is 3 meters?
128,Generate me a calculus question on Analytical_Applications_of_Differentiation,"The temperature at a point (x,y) on a metal plate is given by T(x,y) = 100x2 + 50xy – 20y2, where x and y are measured in meters. Find the direction and rate of maximum temperature increase at the point (2,4"
129,Generate me a calculus question on Analytical_Applications_of_Differentiation,Find the rate of change of the volume of a sphere with respect to its radius when the radius is 5 inches.
130,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A rocket is launched and its height above the ground is given by h(t) = -16t^2 + 256t, where t is the time in seconds. Find the maximum height reached by the rocket and the time it takes to reach that height."
131,Generate me a calculus question on Analytical_Applications_of_Differentiation,A rectangle has a fixed perimeter of 40 feet. Find the dimensions of the rectangle with the maximum possible area.
132,Generate me a calculus question on Analytical_Applications_of_Differentiation,A conical drinking cup with a height of 10 cm has a radius that increases at a rate of 0.5 cm per minute. How fast is the volume of the cup increasing when the radius is 4 cm?
133,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A 10-foot ladder is leaning against a vertical wall, with the base of the ladder initially 6 feet away from the wall. If the base of the ladder is being moved towards the wall at a rate of 3 feet per minute, how fast is the top of the ladder sliding down the wall when the base is 4 feet away from the wall?"
134,Generate me a calculus question on Analytical_Applications_of_Differentiation,A car travels on a straight road at a constant speed of 50 miles per hour. How far does the car travel in 3 hours?
135,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A wire 120 cm long is bent into a rectangle. If one side of the rectangle is increasing in length at a rate of 4 cm per minute, how fast is the area of the rectangle changing when the length is 30 cm?"
136,Generate me a calculus question on Analytical_Applications_of_Differentiation,The cost of producing x items is given by C(x) = 2x^2 + 1000x + 100. Find the minimum cost when x = 250 and interpret this in the context of the problem.
137,Generate me a calculus question on Analytical_Applications_of_Differentiation,"A cylindrical barrel is being filled with water at a rate of 4 cubic feet per minute. If the height of the barrel is 10 feet and the radius is 2 feet, how fast is the water level rising when the height is 6 feet?"
138,Generate me a calculus question on Analytical_Applications_of_Differentiation,A rectangular stage has a fixed perimeter of 100 meters. Find the dimensions of the rectangle with the maximum possible area and determine the maximum area.
139,Generate me a calculus question on Analytical_Applications_of_Differentiation,Calculate the rate of change of the volume of a sphere with respect to its radius when the radius is r=5 cm.
140,Generate me a calculus question on Analytical_Applications_of_Differentiation,Find the maximum area of a rectangle with a fixed perimeter of 40 cm.
141,Generate me a calculus question on Analytical_Applications_of_Differentiation,A mountain climber is ascending a peak with a slope of 60 degrees. What is the maximum angle of inclination for the climber to maintain a constant rate of ascent?
142,Generate me a calculus question on Analytical_Applications_of_Differentiation,A hot air balloon is rising at a rate of 10 m/s at a height of 100 meters. What is the rate of change of the angle of elevation when the balloon is 1 km away from an observer?
143,Generate me a calculus question on Analytical_Applications_of_Differentiation,Find the point on the curve y=3x^2+5x where the tangent is perpendicular to the line y=-x+3.
144,Generate me a calculus question on Analytical_Applications_of_Differentiation,A conical water tank with a radius of 5 meters is being filled with water at a rate of 3 cubic meters per minute. At what rate is the water level rising when the depth is 10 meters?
145,Generate me a calculus question on Analytical_Applications_of_Differentiation,The cost of producing x units of a product is given by C(x)=5000+100x+0.01x^2. What is the minimum cost of producing 100 units?
146,Generate me a calculus question on Analytical_Applications_of_Differentiation,A particle moves along the x-axis with a velocity given by v(t)=3t^2+2. What is the acceleration of the particle when t=2?
147,Generate me a calculus question on Analytical_Applications_of_Differentiation,A rocket is fired from the ground with a velocity of 60 m/s and the parachute deploys when the rocket is 200 meters above the ground. What is the maximum height reached by the rocket?
148,Generate me a calculus question on Analytical_Applications_of_Differentiation,The radius of a circular oil slick is expanding at a constant rate of 4 meters per minute. At what rate is the area of the slick increasing when the radius is 10 meters?
149,Generate me a calculus question on Analytical_Applications_of_Differentiation,What is the maximum profit that can be made from producing and selling 500 units of a product if the cost function is given by C(x) = 2x^2 + 300x + 500 and the revenue function is given by R(x) = 6000x - 4x^2?
150,Generate me a calculus question on Analytical_Applications_of_Differentiation,A hot air balloon begins ascending at a rate of 10 feet per second from an initial height of 100 feet. How many seconds will it take for the balloon to reach an altitude of 500 feet?
151,Generate me a calculus question on Analytical_Applications_of_Differentiation,A rectangular piece of cardboard with dimensions 10 inches by 20 inches is to be made into a box with an open top by cutting out equal squares from each corner and folding the sides. What is the maximum possible volume of the box?
152,Generate me a calculus question on Analytical_Applications_of_Differentiation,"Find the point on the graph of y = x^3 - 3x^2 + 12x - 8 that is closest to the point (2,3)."
